[Run Simulation] All outputs will be saved to: outputs\run_20251118_145005
[Run Simulation] Simulation starting...
[Run Simulation] Running object detection...
[Object Detection] Loading model...
[Object Detection] Estimated table height z=1.081 m
[Object Detection] Using centroid Z = 1.181 m
[Object Detection] Rendering overhead image and depth map...
[Object Detection] Largest contour area: 348616.5
[Object Detection] Image corner 0: pixel [390. 869.] → world [-1.         -0.40000001]
[Object Detection] Image corner 1: pixel [809. 869.] → world [-0.60000002 -0.40000001]
[Object Detection] Image corner 2: pixel [809.  30.] → world [-0.60000002  0.40000001]
[Object Detection] Image corner 3: pixel [390.  30.] → world [-1.          0.40000001]
[Object Detection] Homography calibration successful.
[Object Detection] Detecting colors...
[Object Detection] red_box: found 1 object(s)
[Object Detection] red_box[0]  X=-0.8000, Y=-0.0004, Z=1.1810
[Object Detection] green_box: found 1 object(s)
[Object Detection] green_box[0]  X=-0.8000, Y=-0.2089, Z=1.1810
[Object Detection] blue_box: found 0 object(s)
[Object Detection] orange_box: found 0 object(s)
[Object Detection] yellow_box: found 1 object(s)
[Object Detection] yellow_box[0]  X=-0.6432, Y=0.2086, Z=1.1810
[Object Detection] purple_box: found 0 object(s)
[Object Detection] Saved: overhead_rgb_annotated.png. Done.
[Object Detection] Loading model...
[Object Detection] Estimated table height z=1.081 m
[Object Detection] Using centroid Z = 1.181 m
[Object Detection] Rendering overhead image and depth map...
[Object Detection] Largest contour area: 351541.0
[Object Detection] Image corner 0: pixel [390. 869.] → world [ 0.60000002 -0.40000001]
[Object Detection] Image corner 1: pixel [809. 869.] → world [ 1.         -0.40000001]
[Object Detection] Image corner 2: pixel [809.  30.] → world [1.         0.40000001]
[Object Detection] Image corner 3: pixel [390.  30.] → world [0.60000002 0.40000001]
[Object Detection] Homography calibration successful.
[Object Detection] Detecting colors...
[Object Detection] red_box: found 1 object(s)
[Object Detection] red_box[0]  X=0.6479, Y=0.2021, Z=1.1810
[Object Detection] green_box: found 1 object(s)
[Object Detection] green_box[0]  X=0.6479, Y=-0.2021, Z=1.1810
[Object Detection] blue_box: found 0 object(s)
[Object Detection] orange_box: found 0 object(s)
[Object Detection] yellow_box: found 1 object(s)
[Object Detection] yellow_box[0]  X=0.6479, Y=0.0000, Z=1.1810
[Object Detection] purple_box: found 0 object(s)
[Object Detection] Saved: overhead_rgb_annotated.png. Done.
[Task Sequence] Updated boxes from vision:
[Task Sequence]  red_box[0] -> [-0.8000000107288361, -0.000429082247156648, 1.181]
[Task Sequence]  green_box[0] -> [-0.8000000107288361, -0.20887474213544227, 1.181]
[Task Sequence]  yellow_box[0] -> [-0.6432478523304181, 0.20858515191397806, 1.181]
[Task Sequence] Updated targets from vision:
  red_box[0] -> [-0.8000000107288361, -0.000429082247156648, 1.181]
  green_box[0] -> [-0.8000000107288361, -0.20887474213544227, 1.181]
  yellow_box[0] -> [-0.6432478523304181, 0.20858515191397806, 1.181]
  red_target[0] -> [0.6479236474782586, 0.20209773841077588, 1.181]
  green_target[0] -> [0.6479236474782586, -0.20209773841077586, 1.181]
  yellow_target[0] -> [0.6479236474782586, 0.0, 1.181]
[Task Sequence] Steps regenerated for 3 boxes with color matching.
[Run Simulation] Targets updated from vision!
[Task Sequence] Step 0 | EE Pos: [-0.379, -0.227, 1.650] | Target Pos: [-0.593, 0.209, 1.281] | Dist: 0.610 | Angle Diff: 36.17°
[Task Sequence] Step 0 | EE Pos: [-0.379, -0.227, 1.650] | Target Pos: [-0.593, 0.209, 1.281] | Dist: 0.609 | Angle Diff: 36.17°
[Task Sequence] Step 0 | EE Pos: [-0.379, -0.227, 1.650] | Target Pos: [-0.593, 0.209, 1.281] | Dist: 0.609 | Angle Diff: 36.17°
[Task Sequence] Step 0 | EE Pos: [-0.379, -0.227, 1.650] | Target Pos: [-0.593, 0.209, 1.281] | Dist: 0.609 | Angle Diff: 36.16°
[Task Sequence] Step 0 | EE Pos: [-0.379, -0.226, 1.650] | Target Pos: [-0.593, 0.209, 1.281] | Dist: 0.609 | Angle Diff: 36.16°
[Task Sequence] Step 0 | EE Pos: [-0.379, -0.226, 1.650] | Target Pos: [-0.593, 0.209, 1.281] | Dist: 0.609 | Angle Diff: 36.15°
[Task Sequence] Step 0 | EE Pos: [-0.379, -0.226, 1.650] | Target Pos: [-0.593, 0.209, 1.281] | Dist: 0.609 | Angle Diff: 36.15°
[Task Sequence] Step 0 | EE Pos: [-0.379, -0.226, 1.650] | Target Pos: [-0.593, 0.209, 1.281] | Dist: 0.609 | Angle Diff: 36.14°
[Task Sequence] Step 0 | EE Pos: [-0.379, -0.226, 1.650] | Target Pos: [-0.593, 0.209, 1.281] | Dist: 0.609 | Angle Diff: 36.13°
[Task Sequence] Step 0 | EE Pos: [-0.380, -0.226, 1.650] | Target Pos: [-0.593, 0.209, 1.281] | Dist: 0.609 | Angle Diff: 36.13°
[Task Sequence] Step 0 | EE Pos: [-0.380, -0.226, 1.649] | Target Pos: [-0.593, 0.209, 1.281] | Dist: 0.608 | Angle Diff: 36.12°
[Task Sequence] Step 0 | EE Pos: [-0.380, -0.226, 1.649] | Target Pos: [-0.593, 0.209, 1.281] | Dist: 0.608 | Angle Diff: 36.10°
[Task Sequence] Step 0 | EE Pos: [-0.380, -0.225, 1.649] | Target Pos: [-0.593, 0.209, 1.281] | Dist: 0.608 | Angle Diff: 36.09°
[Task Sequence] Step 0 | EE Pos: [-0.380, -0.225, 1.649] | Target Pos: [-0.593, 0.209, 1.281] | Dist: 0.608 | Angle Diff: 36.08°
[Task Sequence] Step 0 | EE Pos: [-0.380, -0.225, 1.649] | Target Pos: [-0.593, 0.209, 1.281] | Dist: 0.607 | Angle Diff: 36.07°
[Task Sequence] Step 0 | EE Pos: [-0.380, -0.225, 1.649] | Target Pos: [-0.593, 0.209, 1.281] | Dist: 0.607 | Angle Diff: 36.05°
[Task Sequence] Step 0 | EE Pos: [-0.380, -0.224, 1.648] | Target Pos: [-0.593, 0.209, 1.281] | Dist: 0.607 | Angle Diff: 36.03°
[Task Sequence] Step 0 | EE Pos: [-0.380, -0.224, 1.648] | Target Pos: [-0.593, 0.209, 1.281] | Dist: 0.606 | Angle Diff: 36.02°
[Task Sequence] Step 0 | EE Pos: [-0.380, -0.224, 1.648] | Target Pos: [-0.593, 0.209, 1.281] | Dist: 0.606 | Angle Diff: 36.00°
[Task Sequence] Step 0 | EE Pos: [-0.381, -0.224, 1.648] | Target Pos: [-0.593, 0.209, 1.281] | Dist: 0.605 | Angle Diff: 35.98°
[Task Sequence] Step 0 | EE Pos: [-0.381, -0.223, 1.647] | Target Pos: [-0.593, 0.209, 1.281] | Dist: 0.605 | Angle Diff: 35.96°
[Task Sequence] Step 0 | EE Pos: [-0.381, -0.223, 1.647] | Target Pos: [-0.593, 0.209, 1.281] | Dist: 0.605 | Angle Diff: 35.94°
[Task Sequence] Step 0 | EE Pos: [-0.381, -0.223, 1.647] | Target Pos: [-0.593, 0.209, 1.281] | Dist: 0.604 | Angle Diff: 35.92°
[Task Sequence] Step 0 | EE Pos: [-0.381, -0.222, 1.647] | Target Pos: [-0.593, 0.209, 1.281] | Dist: 0.604 | Angle Diff: 35.90°
[Task Sequence] Step 0 | EE Pos: [-0.381, -0.222, 1.646] | Target Pos: [-0.593, 0.209, 1.281] | Dist: 0.603 | Angle Diff: 35.87°
[Task Sequence] Step 0 | EE Pos: [-0.382, -0.222, 1.646] | Target Pos: [-0.593, 0.209, 1.281] | Dist: 0.603 | Angle Diff: 35.85°
[Task Sequence] Step 0 | EE Pos: [-0.382, -0.221, 1.646] | Target Pos: [-0.593, 0.209, 1.281] | Dist: 0.602 | Angle Diff: 35.83°
[Task Sequence] Step 0 | EE Pos: [-0.382, -0.221, 1.645] | Target Pos: [-0.593, 0.209, 1.281] | Dist: 0.601 | Angle Diff: 35.80°
[Task Sequence] Step 0 | EE Pos: [-0.382, -0.220, 1.645] | Target Pos: [-0.593, 0.209, 1.281] | Dist: 0.601 | Angle Diff: 35.77°
[Task Sequence] Step 0 | EE Pos: [-0.382, -0.220, 1.645] | Target Pos: [-0.593, 0.209, 1.281] | Dist: 0.600 | Angle Diff: 35.75°
[Task Sequence] Step 0 | EE Pos: [-0.383, -0.219, 1.644] | Target Pos: [-0.593, 0.209, 1.281] | Dist: 0.600 | Angle Diff: 35.72°
[Task Sequence] Step 0 | EE Pos: [-0.383, -0.219, 1.644] | Target Pos: [-0.593, 0.209, 1.281] | Dist: 0.599 | Angle Diff: 35.69°
[Task Sequence] Step 0 | EE Pos: [-0.383, -0.219, 1.643] | Target Pos: [-0.593, 0.209, 1.281] | Dist: 0.598 | Angle Diff: 35.66°
[Task Sequence] Step 0 | EE Pos: [-0.383, -0.218, 1.643] | Target Pos: [-0.593, 0.209, 1.281] | Dist: 0.598 | Angle Diff: 35.63°
[Task Sequence] Step 0 | EE Pos: [-0.383, -0.218, 1.643] | Target Pos: [-0.593, 0.209, 1.281] | Dist: 0.597 | Angle Diff: 35.60°
[Task Sequence] Step 0 | EE Pos: [-0.384, -0.217, 1.642] | Target Pos: [-0.593, 0.209, 1.281] | Dist: 0.596 | Angle Diff: 35.56°
[Task Sequence] Step 0 | EE Pos: [-0.384, -0.217, 1.642] | Target Pos: [-0.593, 0.209, 1.281] | Dist: 0.596 | Angle Diff: 35.53°
[Task Sequence] Step 0 | EE Pos: [-0.384, -0.216, 1.641] | Target Pos: [-0.593, 0.209, 1.281] | Dist: 0.595 | Angle Diff: 35.50°
[Task Sequence] Step 0 | EE Pos: [-0.384, -0.215, 1.641] | Target Pos: [-0.593, 0.209, 1.281] | Dist: 0.594 | Angle Diff: 35.46°
[Task Sequence] Step 0 | EE Pos: [-0.385, -0.215, 1.641] | Target Pos: [-0.593, 0.209, 1.281] | Dist: 0.593 | Angle Diff: 35.43°
[Task Sequence] Step 0 | EE Pos: [-0.385, -0.214, 1.640] | Target Pos: [-0.593, 0.209, 1.281] | Dist: 0.593 | Angle Diff: 35.39°
[Task Sequence] Step 0 | EE Pos: [-0.385, -0.214, 1.640] | Target Pos: [-0.593, 0.209, 1.281] | Dist: 0.592 | Angle Diff: 35.36°
[Task Sequence] Step 0 | EE Pos: [-0.385, -0.213, 1.639] | Target Pos: [-0.593, 0.209, 1.281] | Dist: 0.591 | Angle Diff: 35.32°
[Task Sequence] Step 0 | EE Pos: [-0.386, -0.212, 1.639] | Target Pos: [-0.593, 0.209, 1.281] | Dist: 0.590 | Angle Diff: 35.28°
[Task Sequence] Step 0 | EE Pos: [-0.386, -0.212, 1.638] | Target Pos: [-0.593, 0.209, 1.281] | Dist: 0.589 | Angle Diff: 35.24°
